Catalyst ID,Composition,Synthesis Method,Surface Area (m2/g),Pore Volume (cm3/g),Active Sites Density (sites/nm2),Reaction Temperature (°C),Pressure (bar),Time (h),Product Selectivity (%),Conversion (%),Performance
CAT-258,MOF-74(Co-Mn),Solvothermal,1750.8,02.05,10.3,220,13,9,89.0,90.0,Excellent
CAT-259,Ni/Carbon Films,PVD,150.2,0.18,2.0,380,55,16,58.0,48.5,Poor
CAT-260,Pt-Fe-Ir/C,Wet chemical,1350.6,1.6,9.0,90,3,2,99.8,99.9,Excellent
CAT-261,Zr-MOF-808-NDC,Solvothermal,1800.5,2.1,10.5,190,16,6,91.5,93.2,Excellent
CAT-262,Cu/TiO2-CeO2,Impregnation,250.1,0.3,3.3,430,72,19,43.5,38.0,Poor
CAT-263,MIL-53(Fe),Solvothermal,1200.7,1.4,8.0,205,14,7,84.0,85.5,Good
CAT-264,Au/CNT-Graphene,Deposition-Precipitation,150.9,0.19,2.2,460,80,20,36.0,31.0,Poor
CAT-265,ZIF-14,Hydrothermal,1300.7,1.5,8.3,215,12,7,85.0,86.5,Good
CAT-266,Fe/ZnO-Al2O3,Co-precipitation,90.4,0.12,1.4,495,95,23,28.0,20.0,Poor
CAT-267,Co-MOF-525,Solvothermal,2150.5,2.6,12.0,170,18,6,94.5,96.0,Excellent
CAT-268,Ni/MWCNTs-GO,Impregnation,720.9,0.92,6.3,320,35,13,71.0,73.5,Good
CAT-269,Pd/C-SiO2,Wet chemical,550.2,0.7,5.0,355,32,14,69.0,71.5,Good
CAT-270,MOF-521,Solvothermal,2050.1,2.45,11.6,165,17,5,93.0,94.5,Excellent
CAT-271,Pt/Al2O3-C,Impregnation,380.5,0.48,4.2,370,50,16,63.0,57.5,Average
CAT-272,UiO-66-BDC,Solvothermal,1200.5,1.45,8.0,175,14,5,91.5,93.0,Excellent
CAT-273,V2O5/SBA-15-CNT,Impregnation,500.6,0.62,5.1,405,62,18,60.5,53.0,Average
CAT-274,Co-ZIF-7,Hydrothermal,1450.3,1.7,9.0,205,14,7,86.5,88.0,Good
CAT-275,Fe-MIL-53,Solvothermal,1350.1,1.55,8.5,210,14,8,85.5,87.0,Good
CAT-276,Ni/AC-Zeolite,Impregnation,420.9,0.52,4.5,360,45,15,65.5,61.0,Average
CAT-277,Rh/TiO2-SiO2,Impregnation,480.4,0.6,5.0,340,28,11,74.5,77.0,Good
CAT-278,MOF-74(Ni-Zn),Solvothermal,1720.8,2.0,10.1,200,15,6,88.0,89.5,Good
CAT-279,Pd/Zeolite-C,Ion exchange,400.2,0.5,4.5,350,30,14,70.0,72.5,Good
CAT-280,Pt-Ru-Fe/C,Wet chemical,1250.7,1.5,8.6,100,5,3,98.0,99.3,Excellent
CAT-281,Zr-MOF-601,Solvothermal,1700.5,2.0,10.1,195,16,6,91.0,92.8,Excellent
CAT-282,Cu/Al2O3-SiO2,Co-precipitation,180.1,0.22,2.5,450,78,21,39.5,35.0,Poor
CAT-283,ZIF-8(Au),Wet chemical,1250.7,1.45,8.2,190,12,7,86.0,87.5,Good
CAT-284,W/AC-Zeolite,Impregnation,360.6,0.42,4.0,430,75,20,54.0,42.0,Poor
CAT-285,Cr-MIL-101(Al),Solvothermal,2700.0,3.35,14.0,150,9,4,96.0,97.5,Excellent
CAT-286,Co/MWCNTs,Impregnation,350.3,0.42,4.0,380,55,16,56.0,46.0,Poor
CAT-287,Rh/CNT-Graphene,Impregnation,650.4,0.85,5.8,310,25,10,75.0,77.5,Good
CAT-288,MOF-74(Fe-Ni),Solvothermal,1750.8,02.05,10.2,220,13,9,88.5,89.5,Good
CAT-289,Ni/Graphene Nanoribbons,Hydrothermal,700.2,0.9,6.2,320,35,14,70.0,72.5,Good
CAT-290,Pt-Pd-Fe/C,Wet chemical,1300.9,1.55,8.8,105,6,3,98.5,99.6,Excellent
CAT-291,UiO-67-BDC,Solvothermal,1400.5,1.65,9.0,180,15,5,92.0,93.8,Excellent
CAT-292,Fe/AC-Zeolite,Impregnation,280.1,0.35,3.6,440,70,19,40.0,35.5,Poor
CAT-293,ZIF-8(Pd),Wet chemical,1350.7,1.6,8.8,195,13,7,87.0,88.5,Good
CAT-294,V2O5/Zeolite-C,Impregnation,460.6,0.58,4.8,420,70,19,55.0,44.0,Poor
CAT-295,Cr-MOF-90(Ni),Solvothermal,1800.0,2.1,10.5,215,14,8,90.0,91.5,Excellent
CAT-296,CuO/NiO,Co-precipitation,110.3,0.14,1.7,480,90,23,30.5,23.5,Poor
CAT-297,Pd/MCM-41-C,Impregnation,650.5,0.85,5.8,340,30,13,72.5,75.0,Good
CAT-298,MOF-74(Cu-Ni),Solvothermal,1700.2,2.0,10.0,205,14,8,87.5,88.5,Good
CAT-299,Ni/Carbon Tubes,Hydrothermal,500.8,0.62,5.1,350,42,15,64.0,60.5,Average
CAT-300,Pt-Au/C,Wet chemical,1380.7,1.65,9.2,90,3,2,99.9,99.9,Excellent
CAT-301,Zr-MOF-800-BDC,Solvothermal,1600.5,1.8,9.5,190,15,5,90.5,92.0,Excellent
CAT-302,Cu/MWCNTs,Hydrothermal,750.1,0.95,6.5,280,32,11,71.0,73.5,Good
CAT-303,MIL-101(Cr)-Fe,Solvothermal,2600.0,3.2,13.8,155,10,4,95.5,97.0,Excellent
CAT-304,Au/Graphene Oxide,Deposition-Precipitation,180.5,0.22,2.5,450,75,20,38.0,33.5,Poor
CAT-305,ZIF-8(Rh),Wet chemical,1400.7,1.65,8.8,200,13,7,86.5,88.0,Good
CAT-306,Fe/SBA-15-Zeolite,Impregnation,320.4,0.4,4.0,430,70,19,51.5,40.0,Poor
CAT-307,Co-MOF-90,Solvothermal,1650.5,1.9,9.8,210,14,8,88.8,90.1,Excellent
CAT-308,Ni/AC-CNT-Zeolite,Impregnation,580.9,0.72,5.3,345,39,15,68.0,71.0,Good
CAT-309,Rh/Zeolite-C,Ion exchange,500.4,0.62,5.1,330,27,12,74.5,77.0,Good
CAT-310,MOF-74(Mn-Ni),Solvothermal,1780.8,2.1,10.3,215,13,9,88.0,89.0,Good
CAT-311,Pt/SiO2-C,Impregnation,420.5,0.52,4.5,360,45,16,65.0,61.5,Average
CAT-312,UiO-66-TDC-NH2,Solvothermal,1350.5,1.6,8.8,185,15,5,92.0,93.5,Excellent
CAT-313,V2O5/CNTs-Graphene,Impregnation,550.6,0.7,5.5,395,60,17,62.5,56.0,Average
CAT-314,Co-ZIF-11,Hydrothermal,1400.3,1.65,8.8,200,13,7,85.5,87.0,Good
CAT-315,Fe-MIL-100,Solvothermal,2200.1,2.8,12.5,170,12,5,93.5,95.0,Excellent
CAT-316,Ni/Graphene-Zeolite,Impregnation,650.9,0.85,5.8,335,38,14,69.5,72.0,Good
CAT-317,Pd/Al2O3-C,Impregnation,580.2,0.72,5.3,350,30,13,71.5,74.0,Good
CAT-318,MIL-101(Cr)-Al,Solvothermal,2800.0,3.5,14.5,150,9,4,96.5,98.0,Excellent
CAT-319,Ru/MWCNTs,Hydrothermal,450.5,0.55,4.6,340,28,11,73.0,75.5,Good
CAT-320,Cu/Zeolite-C,Ion exchange,220.1,0.28,3.0,460,82,21,38.5,34.0,Poor
CAT-321,Zr-MOF-808-TDC,Solvothermal,1850.4,2.2,10.7,180,17,5,92.0,93.8,Excellent
CAT-322,Au/TiO2-C,Deposition-Precipitation,160.9,0.2,2.3,440,70,19,39.0,34.5,Poor
CAT-323,ZIF-8(Ni-Fe),Hydrothermal,1550.7,1.8,9.5,205,14,7,87.5,89.0,Good
CAT-324,W/SBA-15,Impregnation,400.6,0.5,4.5,420,70,19,56.0,45.0,Poor
CAT-325,Cr-MOF-5,Solvothermal,2300.0,2.9,12.8,170,12,5,93.5,95.0,Excellent
CAT-326,Co/Zeolite-C,Ion exchange,320.3,0.4,4.0,390,58,17,52.5,42.5,Poor
CAT-327,Rh/Al2O3-C,Impregnation,520.4,0.65,5.2,320,26,11,74.0,76.5,Good
CAT-328,MOF-74(Zn-Fe),Solvothermal,1700.8,2.0,10.0,210,14,8,88.2,89.3,Good
CAT-329,Ni/Carbon Mesh,Hydrothermal,480.2,0.6,5.0,355,42,15,65.0,61.5,Average
CAT-330,Pt-Pd-Rh/C,Wet chemical,1350.9,1.6,9.0,95,4,2,99.0,99.8,Excellent
CAT-331,UiO-66-NDC-NH2,Solvothermal,1300.5,1.5,8.6,180,15,5,92.5,94.0,Excellent
CAT-332,Fe/CNT-Zeolite,Impregnation,350.1,0.42,4.0,450,78,21,39.0,34.5,Poor
CAT-333,ZIF-13,Hydrothermal,1450.7,1.7,9.0,200,13,7,86.0,87.5,Good
CAT-334,V2O5/AC-Zeolite,Impregnation,480.6,0.6,5.0,435,72,19,53.0,40.5,Poor
CAT-335,Cr-MIL-101(Al)-NH2,Solvothermal,2800.0,3.5,14.5,140,8,4,97.0,98.5,Excellent
CAT-336,CuO/NiO-Fe2O3,Co-precipitation,150.3,0.19,2.1,470,85,22,33.5,27.5,Poor
CAT-337,Pd/TiO2-C,Impregnation,480.5,0.6,5.0,350,30,13,71.0,73.5,Good
CAT-338,MOF-74(Mg-Fe),Solvothermal,1750.2,02.05,10.2,215,14,8,88.5,89.5,Good
CAT-339,Ni/Carbon Cloth,Impregnation,550.8,0.7,5.5,330,37,14,68.5,71.0,Good
CAT-340,Pt-Fe-Co-Ni/C,Wet chemical,1400.9,1.65,9.2,90,3,2,99.9,99.9,Excellent
CAT-341,Zr-MOF-800-NDC,Solvothermal,1550.5,1.75,9.4,195,16,6,90.0,91.5,Excellent
CAT-342,Cu/SBA-15-CNT,Impregnation,600.1,0.75,5.5,300,35,12,70.5,73.0,Good
CAT-343,MIL-101(Cr)-Co,Solvothermal,2650.0,3.25,13.8,155,10,4,95.8,97.2,Excellent
CAT-344,Au/CNT-Zeolite,Deposition-Precipitation,140.5,0.18,2.1,460,80,21,35.5,30.5,Poor
CAT-345,ZIF-8(V),Wet chemical,1300.7,1.5,8.5,190,12,7,86.0,87.5,Good
CAT-346,Fe/TiO2-C,Impregnation,250.4,0.3,3.3,440,75,20,44.5,39.0,Poor
CAT-347,Co-MOF-74-Ni,Solvothermal,1800.5,2.1,10.5,220,13,9,89.0,90.5,Excellent
CAT-348,Ni/Zeolite-CNT,Impregnation,450.9,0.55,4.7,360,45,15,65.0,61.0,Average
CAT-349,Rh/MWCNTs-GO,Impregnation,680.4,0.88,5.9,325,29,11,75.0,77.5,Good
CAT-350,MOF-522,Solvothermal,2000.1,2.4,11.5,170,18,6,93.0,94.5,Excellent
CAT-351,Pt/Graphene-Zeolite,Wet chemical,1180.5,1.4,8.2,105,6,3,97.5,99.0,Excellent
CAT-352,UiO-66-NH2-COOH,Solvothermal,1250.7,1.5,8.3,180,15,5,92.0,93.5,Excellent
CAT-353,V2O5/Al2O3-C,Impregnation,400.6,0.5,4.5,415,70,18,60.0,52.5,Average
CAT-354,Co-ZIF-67-Fe,Hydrothermal,1700.3,2.0,10.0,205,14,7,89.5,91.0,Excellent
CAT-355,Fe-MIL-101-NH2,Solvothermal,2350.1,2.95,13.0,165,11,5,94.5,96.0,Excellent
CAT-356,Ni/CNT-Zeolite,Impregnation,520.9,0.65,5.2,340,39,14,67.5,70.0,Good
CAT-357,Pd/AC-Fe2O3,Impregnation,550.2,0.7,5.0,355,32,13,71.5,74.0,Good
CAT-358,MOF-74(Co-Zn),Solvothermal,1700.8,2.0,10.0,200,15,6,88.0,89.5,Good
CAT-359,Rh/Carbon Nanofibers,Hydrothermal,600.4,0.75,5.5,315,28,11,75.5,78.0,Good
CAT-360,Pt-Fe-Pd-Rh/C,Wet chemical,1450.9,1.7,9.5,90,3,2,99.9,99.9,Excellent
CAT-361,Zr-MOF-808-BPDC-NH2,Solvothermal,1850.5,2.2,10.7,190,16,6,92.0,93.8,Excellent
CAT-362,Cu/AC-Graphene,Hydrothermal,800.1,1.0,7.0,290,34,12,70.0,72.5,Good
CAT-363,MIL-53(Fe)-NH2,Solvothermal,1250.7,1.45,8.2,210,14,7,84.5,86.0,Good
CAT-364,Au/SiO2-C,Deposition-Precipitation,110.5,0.14,1.6,480,90,23,31.0,25.5,Poor
CAT-365,ZIF-8(Co-Fe),Hydrothermal,1650.7,1.9,9.8,205,14,7,88.5,90.0,Excellent
CAT-366,Fe/Al2O3-C,Impregnation,200.4,0.25,2.8,450,78,21,43.0,37.5,Poor
CAT-367,Co-MOF-5-Fe,Solvothermal,2200.5,2.8,12.5,175,18,6,94.0,95.5,Excellent
CAT-368,Ni/MWCNTs-Zeolite,Impregnation,600.9,0.75,5.5,330,37,14,68.0,70.5,Good
CAT-369,Pd/Zeolite-CNT,Ion exchange,420.2,0.52,4.5,360,32,13,69.5,72.0,Good
CAT-370,MOF-74(Zn-Cr),Solvothermal,1730.8,02.05,10.1,215,14,8,88.7,89.8,Good
CAT-371,Pt/TiO2-C,Impregnation,450.5,0.55,4.7,370,50,16,63.5,58.0,Average
CAT-372,UiO-67-TDC-BDC,Solvothermal,1500.5,1.75,9.2,190,16,6,91.5,93.2,Excellent
CAT-373,V2O5/SBA-15-Zeolite,Impregnation,520.6,0.65,5.2,400,60,17,61.0,54.0,Average
CAT-374,Co-ZIF-90,Hydrothermal,1550.3,1.8,9.5,210,14,8,87.5,89.0,Good
CAT-375,Fe-MIL-47,Solvothermal,1400.1,1.65,8.8,205,14,7,86.5,88.0,Good
CAT-376,Ni/AC-CNT-Graphene,Impregnation,750.9,0.95,6.5,325,35,14,70.0,72.5,Good
CAT-377,Rh/TiO2-C,Impregnation,550.4,0.7,5.5,315,25,10,74.5,77.0,Good
CAT-378,MOF-74(Co-Cr),Solvothermal,1780.8,2.1,10.3,220,13,9,89.0,90.0,Excellent
CAT-379,Pd/CNTs-Graphene,Wet chemical,620.2,0.78,5.5,330,30,13,72.0,74.5,Good
CAT-380,Pt-Ir-Rh/C,Wet chemical,1480.7,1.75,9.8,90,3,2,99.9,99.9,Excellent
CAT-381,Zr-MOF-800-BPDC-NH2,Solvothermal,1650.5,1.9,9.8,195,16,6,90.5,92.0,Excellent
CAT-382,Cu/Zeolite-CNT,Ion exchange,280.1,0.35,3.6,440,75,20,40.0,35.5,Poor
CAT-383,ZIF-8(W),Wet chemical,1300.7,1.5,8.5,190,12,7,85.5,87.0,Good
CAT-384,W/AC-CNT-Graphene,Impregnation,420.6,0.52,4.5,435,72,19,54.0,42.5,Poor
CAT-385,Cr-MOF-808-NH2,Solvothermal,2250.0,2.85,12.6,160,11,5,94.0,95.5,Excellent
CAT-386,Co/Al2O3-C,Impregnation,380.3,0.45,4.2,380,55,16,58.0,48.0,Poor
CAT-387,Rh/Al2O3-Ceria,Impregnation,580.4,0.72,5.4,325,29,11,75.0,77.5,Good
CAT-388,MOF-74(Mg-Ni),Solvothermal,1700.8,2.0,10.0,205,14,8,87.8,89.0,Good
CAT-389,Ni/Carbon Dots,Hydrothermal,800.2,1.0,7.0,320,35,14,70.5,73.0,Good
CAT-390,Pt-Ru-Fe-Rh/C,Wet chemical,1500.9,1.75,10.0,95,4,2,99.5,99.9,Excellent
CAT-391,UiO-66-NDC-BDC,Solvothermal,1200.5,1.45,8.0,175,14,5,91.0,92.8,Excellent
CAT-392,Fe/TiO2-CNT,Impregnation,250.1,0.3,3.3,450,78,21,41.0,36.0,Poor
CAT-393,ZIF-15,Hydrothermal,1500.7,1.75,9.2,200,13,7,86.5,88.0,Good
CAT-394,V2O5/AC-CNT,Impregnation,440.6,0.55,4.7,420,70,19,55.0,43.5,Poor
CAT-395,Cr-MIL-101(Sc),Solvothermal,2600.0,3.2,13.8,160,11,5,95.0,96.5,Excellent
CAT-396,CuO/ZnO-C,Co-precipitation,100.3,0.13,1.5,490,92,23,29.5,22.0,Poor
CAT-397,Pd/Zeolite-MWCNTs,Ion exchange,450.5,0.55,4.6,335,26,11,73.0,75.5,Good
CAT-398,MOF-74(Co-Fe-Ni),Solvothermal,1780.8,2.1,10.3,220,13,9,88.5,89.5,Good
CAT-399,Ni/Carbon Nanotubes-GO,Impregnation,700.2,0.9,6.2,330,35,14,70.0,72.5,Good
CAT-400,Pt-Pd-Au/C,Wet chemical,1550.6,1.8,10.2,90,3,2,99.8,99.9,Excellent
CAT-401,Zr-MOF-525-NH2,Solvothermal,1850.5,2.2,10.7,185,17,5,92.0,93.8,Excellent
CAT-402,Cu/AC-CNT,Hydrothermal,650.1,0.85,5.8,295,36,12,71.5,74.0,Good
CAT-403,MIL-101(In)-NH2,Solvothermal,2750.0,3.4,14.2,150,9,4,96.5,98.0,Excellent
CAT-404,Au/TiO2-Al2O3,Deposition-Precipitation,130.5,0.17,2.0,465,85,21,34.5,29.0,Poor
CAT-405,ZIF-8(Ni-Cr),Hydrothermal,1500.7,1.75,9.2,205,14,7,87.0,88.5,Good
CAT-406,Fe/SBA-15-CNT-Graphene,Impregnation,350.4,0.42,4.0,430,70,19,50.0,39.5,Poor
CAT-407,Co-MOF-74-Fe,Solvothermal,1850.5,2.2,10.7,210,14,8,90.0,91.5,Excellent
CAT-408,Ni/Hydrotalcite-CNT,Impregnation,380.9,0.48,4.2,360,45,15,63.0,57.5,Average
CAT-409,Rh/Carbon Black,Wet chemical,550.4,0.7,5.0,320,26,10,74.0,76.5,Good
CAT-410,MOF-523,Solvothermal,2100.1,2.5,11.8,165,17,5,93.5,95.0,Excellent
CAT-411,Pt/Carbon Nanofibers,Wet chemical,1200.5,1.45,8.4,100,5,3,98.0,99.3,Excellent
CAT-412,UiO-66-NH2-BDC,Solvothermal,1280.7,1.5,8.5,180,15,5,92.5,94.0,Excellent
CAT-413,V2O5/Zeolite-MWCNTs,Impregnation,500.6,0.62,5.1,405,62,18,61.5,54.5,Average
CAT-414,Co-ZIF-14,Hydrothermal,1350.3,1.6,8.8,200,13,7,85.5,87.0,Good
CAT-415,Fe-MIL-101-BDC,Solvothermal,2400.1,3.0,13.0,165,11,5,94.0,95.5,Excellent
CAT-416,Ni/AC-CNT-Zeolite-GO,Impregnation,680.9,0.88,5.9,335,38,14,68.5,71.0,Good
CAT-417,Pd/Zeolite-MWCNTs-GO,Ion exchange,480.2,0.6,5.0,350,32,13,70.0,72.5,Good
CAT-418,MIL-101(Cr)-Zn,Solvothermal,2650.0,3.25,13.8,155,10,4,95.5,97.0,Excellent
CAT-419,Ru/Al2O3-Ceria,Impregnation,500.5,0.62,5.1,320,26,10,74.5,77.0,Good
CAT-420,Cu/Zeolite-MWCNTs,Ion exchange,200.1,0.25,2.8,460,82,21,39.0,34.5,Poor
CAT-421,Zr-MOF-808-NDC-NH2,Solvothermal,1900.5,2.3,11.0,190,16,6,92.5,94.0,Excellent
CAT-422,Au/CNT-Graphene-Zeolite,Deposition-Precipitation,160.9,0.2,2.3,450,75,20,38.5,33.0,Poor
CAT-423,ZIF-8(Pt-Au),Wet chemical,1450.7,1.7,9.1,200,13,7,87.5,89.0,Good
CAT-424,W/TiO2-C,Impregnation,380.6,0.45,4.2,430,75,20,53.0,41.0,Poor
CAT-425,Cr-MOF-5-NH2,Solvothermal,2350.0,2.95,13.0,170,12,5,94.0,95.5,Excellent
CAT-426,Co/ZnO-C,Co-precipitation,120.3,0.15,1.8,470,85,22,32.0,26.0,Poor
CAT-427,Rh/CNT-Graphene-Zeolite,Impregnation,700.4,0.9,6.2,315,25,10,75.0,77.5,Good
CAT-428,MOF-74(Fe-Co),Solvothermal,1750.8,02.05,10.2,210,14,8,88.0,89.0,Good
CAT-429,Ni/Carbon Films-CNT,PVD,200.2,0.25,2.8,370,50,16,59.0,50.0,Average
CAT-430,Pt-Fe-Co-Ir/C,Wet chemical,1500.9,1.75,9.8,95,4,2,99.5,99.9,Excellent
CAT-431,Zr-MOF-600-NH2,Solvothermal,1650.5,1.9,9.8,190,15,5,91.0,92.5,Excellent
CAT-432,Fe/Zeolite-C,Ion exchange,320.1,0.4,4.0,440,70,19,41.5,36.5,Poor
CAT-433,ZIF-16,Hydrothermal,1550.7,1.8,9.5,205,14,7,87.0,88.5,Good
CAT-434,V2O5/SBA-15-C,Impregnation,450.6,0.55,4.7,430,75,20,52.0,39.0,Poor
CAT-435,Cr-MIL-53-NH2,Solvothermal,1450.0,1.7,9.0,200,15,6,89.0,90.5,Excellent
CAT-436,CuO/Al2O3-C,Co-precipitation,130.3,0.16,1.9,465,85,22,34.0,28.0,Poor
CAT-437,Pd/MCM-41-CNT,Impregnation,700.5,0.9,6.2,330,30,13,72.5,75.0,Good
CAT-438,MOF-74(Mg-Co),Solvothermal,1700.8,2.0,10.0,205,14,8,87.5,88.5,Good
CAT-439,Ni/Carbon Spheres-CNT,Hydrothermal,600.2,0.75,5.5,340,39,14,68.0,70.5,Good
CAT-440,Pt-Fe-Rh-Au/C,Wet chemical,1580.9,1.85,10.5,90,3,2,99.8,99.9,Excellent
CAT-441,Zr-MOF-808-TDC-NH2,Solvothermal,1950.5,2.35,11.3,195,16,6,92.8,94.3,Excellent
CAT-442,Cu/TiO2-CNT,Impregnation,300.1,0.38,3.9,430,70,19,43.0,37.5,Poor
CAT-443,ZIF-17,Hydrothermal,1600.7,1.85,9.7,210,14,8,87.5,89.0,Good
CAT-444,V2O5/AC-Zeolite-CNT,Impregnation,500.6,0.62,5.1,440,70,19,53.5,41.5,Poor
CAT-445,Cr-MOF-71-Fe,Solvothermal,1700.0,2.0,10.1,215,14,8,89.5,91.0,Excellent
CAT-446,Co/MWCNTs-C,Impregnation,400.3,0.5,4.5,390,58,17,54.0,44.0,Poor
CAT-447,Rh/Zeolite-CNT,Ion exchange,520.4,0.65,5.2,330,27,11,74.0,76.5,Good
CAT-448,MOF-74(Ni-Cr),Solvothermal,1780.8,2.1,10.3,220,13,9,88.0,89.0,Good
CAT-449,Ni/Carbon Tubes-C,Hydrothermal,550.8,0.7,5.5,350,42,15,66.0,62.5,Average
CAT-450,Pt-Fe-Ir-Au/C,Wet chemical,1650.9,1.9,11.0,90,3,2,99.9,99.9,Excellent
CAT-451,Zr-MOF-525-BDC,Solvothermal,1900.5,2.3,11.0,185,17,5,92.5,94.0,Excellent
CAT-452,Cu/AC-Zeolite,Impregnation,700.1,0.9,6.2,300,35,12,71.0,73.5,Good
CAT-453,MIL-101(Cr)-Ni,Solvothermal,2700.0,3.35,14.0,155,10,4,96.0,97.5,Excellent
CAT-454,Au/CNT-Zeolite-C,Deposition-Precipitation,150.5,0.19,2.2,460,80,21,37.0,32.0,Poor
CAT-455,ZIF-8(V-Fe),Wet chemical,1400.7,1.65,8.8,195,13,7,86.0,87.5,Good
CAT-456,Fe/TiO2-Al2O3,Impregnation,280.4,0.35,3.6,440,75,20,44.0,38.5,Poor
CAT-457,Co-MOF-90-Fe,Solvothermal,1750.5,02.05,10.2,210,14,8,89.0,90.5,Excellent
CAT-458,Ni/Hydrotalcite-Zeolite,Impregnation,420.9,0.52,4.5,360,45,15,64.0,58.5,Average
CAT-459,Rh/Carbon Nanotubes,Hydrothermal,650.4,0.85,5.8,325,29,11,75.0,77.5,Good
CAT-460,MOF-524,Solvothermal,2150.1,2.6,12.0,165,17,5,94.0,95.5,Excellent
CAT-461,Pt/Carbon Cloth,Wet chemical,1150.5,1.4,8.1,105,6,3,97.5,99.0,Excellent
CAT-462,UiO-66-NDC-BDC-NH2,Solvothermal,1350.7,1.6,8.8,185,15,5,92.0,93.5,Excellent
CAT-463,V2O5/MWCNTs-C,Impregnation,550.6,0.7,5.5,395,60,17,62.0,55.5,Average
CAT-464,Co-ZIF-16,Hydrothermal,1500.3,1.75,9.2,205,14,7,86.5,88.0,Good
CAT-465,Fe-MIL-101-C,Solvothermal,2300.1,2.9,12.8,165,11,5,93.5,95.0,Excellent
CAT-466,Ni/AC-CNT-Graphene-Zeolite,Impregnation,700.9,0.9,6.2,330,35,14,69.5,72.0,Good
CAT-467,Pd/TiO2-Al2O3,Impregnation,580.2,0.72,5.3,350,30,13,71.0,73.5,Good
CAT-468,MOF-74(Mg-Cr),Solvothermal,1700.8,2.0,10.0,215,14,8,87.5,88.5,Good
CAT-469,Rh/Zeolite-MWCNTs,Ion exchange,550.4,0.7,5.5,340,28,11,74.5,77.0,Good
CAT-470,Pt-Fe-Pd-Au/C,Wet chemical,1600.9,1.85,10.5,90,3,2,99.8,99.9,Excellent
CAT-471,Zr-MOF-800-NDC-BDC,Solvothermal,1600.5,1.8,9.5,190,15,5,90.5,92.0,Excellent
CAT-472,Cu/Zeolite-CNT-C,Ion exchange,350.1,0.42,4.0,440,70,19,41.0,36.0,Poor
CAT-473,ZIF-18,Hydrothermal,1650.7,1.9,9.8,205,14,7,88.0,89.5,Good
CAT-474,V2O5/AC-CNT-Graphene-Zeolite,Impregnation,600.6,0.75,5.5,400,60,17,62.5,56.0,Average
CAT-475,Cr-MIL-101(V)-BDC,Solvothermal,2850.0,3.55,14.6,145,8,4,97.0,98.5,Excellent
CAT-476,Co/Zeolite-C-CNT,Ion exchange,380.3,0.45,4.2,390,58,17,55.0,45.0,Poor
CAT-477,Rh/CNT-Graphene-C,Impregnation,750.4,0.95,6.5,310,25,10,75.5,78.0,Good
CAT-478,MOF-74(Fe-Cr),Solvothermal,1750.8,02.05,10.2,215,14,8,88.5,89.5,Good
CAT-479,Ni/Carbon Mesh-CNT,Hydrothermal,550.2,0.7,5.5,340,39,14,67.5,70.0,Good
CAT-480,Pt-Pd-Ir-Rh/C,Wet chemical,1700.9,2.0,11.5,90,3,2,99.9,99.9,Excellent
CAT-481,Zr-MOF-600-BDC,Solvothermal,1700.5,2.0,10.1,195,16,6,91.0,92.8,Excellent
CAT-482,Cu/SBA-15-C,Impregnation,650.1,0.85,5.8,300,35,12,71.5,74.0,Good
CAT-483,ZIF-19,Hydrothermal,1700.7,2.0,10.0,205,14,7,88.5,90.0,Excellent
CAT-484,W/Fe2O3-C,Impregnation,320.6,0.4,4.0,430,75,20,54.0,42.0,Poor
CAT-485,Cr-MIL-53-BDC,Solvothermal,1500.0,1.75,9.0,200,15,6,89.5,91.0,Excellent
CAT-486,Co/TiO2-C,Impregnation,300.3,0.38,3.7,400,65,17,55.5,45.5,Poor
CAT-487,Rh/Alumina-Silica-C,Impregnation,600.4,0.75,5.5,320,26,11,74.0,76.5,Good
CAT-488,MOF-74(Mg-Fe-Ni),Solvothermal,1750.8,02.05,10.2,215,14,8,88.2,89.3,Good
CAT-489,Ni/Carbon Cloth-CNT,Impregnation,600.2,0.75,5.5,340,39,14,67.0,70.0,Good
CAT-490,Pt-Pd-Rh-Au/C,Wet chemical,1750.9,02.05,11.8,90,3,2,99.9,99.9,Excellent
CAT-491,Zr-MOF-808-NDC-BDC,Solvothermal,2000.5,2.4,11.5,190,16,6,93.0,94.5,Excellent
CAT-492,Cu/MWCNTs-C,Hydrothermal,800.1,1.0,7.0,290,32,11,70.0,72.5,Good
CAT-493,ZIF-20,Hydrothermal,1750.7,02.05,10.2,210,14,8,89.0,90.5,Excellent
CAT-494,V2O5/Zeolite-CNT-C,Impregnation,580.6,0.72,5.3,420,70,19,54.5,43.0,Poor
CAT-495,Cr-MOF-90-Fe-Ni,Solvothermal,1850.0,2.2,10.7,215,14,8,90.0,91.5,Excellent
CAT-496,CuO/NiO-C,Co-precipitation,130.3,0.16,1.9,465,85,22,33.0,27.0,Poor
CAT-497,Pd/Ceria-C,Impregnation,500.5,0.62,5.1,330,27,11,73.5,76.0,Good
CAT-498,MOF-74(Co-Fe-Cr),Solvothermal,1800.8,2.1,10.3,220,13,9,88.5,89.5,Good
CAT-499,Ni/Carbon Tubes-CNT,Hydrothermal,650.2,0.85,5.8,340,39,14,68.0,70.5,Good
CAT-500,Pt-Rh-Au-Ir/C,Wet chemical,1800.9,2.15,12.0,90,3,2,99.9,99.9,Excellent
